experiment,frame,file,download,jaccard,spanning_tree,layout_time,quality,fdl_init,frameTime,crossing,crossingAngle,angularResolutionMin,angularResolutionDev,totalEnergy,avgMotion,maxMotion,trustworthy_k_idx,trustworthy_q_local,trustworthy_q_global,continuity_k_idx,continuity_q_local,continuity_q_global,lcmc_k_idx,lcmc_q_local,lcmc_q_global
init_layout_duplication_divergence_graph__50_0_5___layered_layout,1,data/duplication_divergence_graph__50_0_5__.json,138.89999997615814,0.3999999761581421,0.30000007152557373,0.2999999523162842,0.10000002384185791,7.600000023841858,0,0.8563162970106075,0.7187825744378066,0.5340878632856059,0.6651453110914041,2157.0482123707307,540.3258764041598,838.5246391130509,18,0.7832852809334337,0.6961904761904762,18,0.7630066914488669,0.6808020050125315,18,0.26452027031258724,0.1777434658073756
init_layout_duplication_divergence_graph__50_0_5___layered_layout,2,data/duplication_divergence_graph__50_0_5__.json,138.89999997615814,0.3999999761581421,0.30000007152557373,0.2999999523162842,0.10000002384185791,7.600000023841858,10.299999952316284,0.8799421407907425,0.7049350365237756,0.4818187495280617,0.6357455052146819,2114.2004195919726,42.73714510188366,118.30720924000553,18,0.8013535260364193,0.7419548872180453,18,0.7419748952888412,0.6814536340852132,18,0.25729230225778843,0.18955871822413178
init_layout_duplication_divergence_graph__50_0_5___layered_layout,3,data/duplication_divergence_graph__50_0_5__.json,138.89999997615814,0.3999999761581421,0.30000007152557373,0.2999999523162842,0.10000002384185791,7.600000023841858,8.900000095367432,0.8837994214079075,0.7224489930498823,0.46607969242575753,0.6128359581325336,1760.7913168087023,35.143344603517704,79.83739022276201,18,0.813241256897408,0.7649624060150377,18,0.7661232608869524,0.705513784461153,18,0.2751698857291094,0.21855979233798778
init_layout_duplication_divergence_graph__50_0_5___layered_layout,4,data/duplication_divergence_graph__50_0_5__.json,138.89999997615814,0.3999999761581421,0.30000007152557373,0.2999999523162842,0.10000002384185791,7.600000023841858,7.5,0.8866923818707811,0.6964065241259352,0.44639750333178096,0.6041352370739717,1314.3805737917473,25.74900209015605,73.0864622387255,18,0.8362134568400355,0.804812030075188,18,0.7942414623467208,0.7362406015037595,18,0.2836602198321886,0.24541263873970637
init_layout_duplication_divergence_graph__50_0_5___layered_layout,5,data/duplication_divergence_graph__50_0_5__.json,138.89999997615814,0.3999999761581421,0.30000007152557373,0.2999999523162842,0.10000002384185791,7.600000023841858,13,0.8915139826422372,0.7179976864610563,0.4548398162528676,0.6101959285735903,921.487541223919,17.797937732292198,58.79421814951536,18,0.8522779082323535,0.8285714285714286,18,0.8242790561734757,0.776641604010025,18,0.31283945701712806,0.27011725742928755
init_layout_duplication_divergence_graph__50_0_5___layered_layout,6,data/duplication_divergence_graph__50_0_5__.json,138.89999997615814,0.3999999761581421,0.30000007152557373,0.2999999523162842,0.10000002384185791,7.600000023841858,13.5,0.90549662487946,0.7272765694029271,0.46153291969631594,0.6186562577843375,622.855098165998,12.03047693099325,40.10749623318688,18,0.8697969010935612,0.8622556390977444,18,0.8495924337210546,0.8257142857142857,18,0.33588297040427895,0.29697010383100614
init_layout_duplication_divergence_graph__50_0_5___layered_layout,7,data/duplication_divergence_graph__50_0_5__.json,138.89999997615814,0.3999999761581421,0.30000007152557373,0.2999999523162842,0.10000002384185791,7.600000023841858,13.100000023841858,0.9156219864995179,0.730291111149062,0.4743888533238665,0.6249253234363611,401.14183054527547,7.815165251624976,23.65518614542545,18,0.881922358366028,0.8857142857142858,18,0.8652745652017461,0.8439097744360903,18,0.3496628364225403,0.31737826709631217
init_layout_duplication_divergence_graph__50_0_5___layered_layout,8,data/duplication_divergence_graph__50_0_5__.json,138.89999997615814,0.3999999761581421,0.30000007152557373,0.2999999523162842,0.10000002384185791,7.600000023841858,13.5,0.9194792671166827,0.7471872973125688,0.470575121068899,0.638334572871533,266.56257942587405,5.2031908646820115,13.376382983291254,18,0.8875761172559191,0.8923308270676692,18,0.8765375211089127,0.8610526315789473,18,0.35933847787089085,0.3334899749373434
init_layout_duplication_divergence_graph__50_0_5___layered_layout,9,data/duplication_divergence_graph__50_0_5__.json,138.89999997615814,0.3999999761581421,0.30000007152557373,0.2999999523162842,0.10000002384185791,7.600000023841858,13.899999976158142,0.9199614271938283,0.7630471548035989,0.48309723927658454,0.650703669679505,193.0378315586733,3.828796556895481,8.942301759528775,18,0.8914304045680947,0.8975438596491229,18,0.8830082084154858,0.8770927318295739,18,0.3620989110484909,0.3506757966344432
init_layout_duplication_divergence_graph__50_0_5___layered_layout,10,data/duplication_divergence_graph__50_0_5__.json,138.89999997615814,0.3999999761581421,0.30000007152557373,0.2999999523162842,0.10000002384185791,7.600000023841858,13.699999928474426,0.9194792671166827,0.7813648165598523,0.49427440669923606,0.6587310021568002,159.1622835779612,3.186590567735784,7.189397376293348,18,0.8954015941125266,0.901904761904762,18,0.8884853042400437,0.887468671679198,18,0.3682152907968234,0.35819459362692446
init_layout_duplication_divergence_graph__50_0_5___layered_layout,11,data/duplication_divergence_graph__50_0_5__.json,138.89999997615814,0.3999999761581421,0.30000007152557373,0.2999999523162842,0.10000002384185791,7.600000023841858,15.5,0.9243008678881388,0.7841383858269051,0.5020776607303754,0.663761769935949,142.73792400940616,2.8449532243337483,5.531732266328958,18,0.8992611362154184,0.9059147869674186,18,0.8944472554619187,0.8955889724310777,18,0.37635682774238194,0.3646392767633369
init_layout_duplication_divergence_graph__50_0_5___layered_layout,12,data/duplication_divergence_graph__50_0_5__.json,138.89999997615814,0.3999999761581421,0.30000007152557373,0.2999999523162842,0.10000002384185791,7.600000023841858,13.700000047683716,0.9257473481195757,0.7884943141316794,0.5043743089921036,0.6668273583317681,126.8536945187602,2.5279818094837796,5.353234523649941,18,0.9021817472150527,0.908671679197995,18,0.8979443758850848,0.8962907268170426,18,0.38336047613258495,0.3667875044754744
init_layout_duplication_divergence_graph__50_0_5___layered_layout,13,data/duplication_divergence_graph__50_0_5__.json,138.89999997615814,0.3999999761581421,0.30000007152557373,0.2999999523162842,0.10000002384185791,7.600000023841858,13.399999976158142,0.9243008678881388,0.7877454019695505,0.5091298908622053,0.6688748059379257,112.9710129373956,2.2747216511302426,4.800361500497537,18,0.904573799461514,0.9117794486215539,18,0.9009683291853472,0.898546365914787,18,0.38524518439484423,0.37108395989974935
init_layout_duplication_divergence_graph__50_0_5___layered_layout,14,data/duplication_divergence_graph__50_0_5__.json,138.89999997615814,0.3999999761581421,0.30000007152557373,0.2999999523162842,0.10000002384185791,7.600000023841858,14.299999952316284,0.9243008678881388,0.7812172645306328,0.5127589987703788,0.669853400249349,99.98516592835782,2.0258427665282572,3.8499082032773213,18,0.9071206755198644,0.9141353383458647,18,0.9050074947895028,0.9026065162907269,18,0.3938725817777438,0.37430630146795557
