experiment,frame,file,download,jaccard,spanning_tree,layout_time,quality,fdl_init,frameTime,crossing,crossingAngle,angularResolutionMin,angularResolutionDev,totalEnergy,avgMotion,maxMotion,trustworthy_k_idx,trustworthy_q_local,trustworthy_q_global,continuity_k_idx,continuity_q_local,continuity_q_global,lcmc_k_idx,lcmc_q_local,lcmc_q_global
init_layout_dorogovtsev_goltsev_mendes_graph__5___random,1,data/dorogovtsev_goltsev_mendes_graph__5__.json,162.29999995231628,1,0.5,0,0,14.399999976158142,0,0.5625277161862527,0.6993131741263527,0.10021027102658853,0.22663225818812105,908.5484801118686,510.06247755262024,605.6794583211346,18,0.4969136011163623,0.5475650725152268,18,0.5709096192842339,0.5931636304045014,18,0.01184201890429426,0.022008856309585795
init_layout_dorogovtsev_goltsev_mendes_graph__5___random,2,data/dorogovtsev_goltsev_mendes_graph__5__.json,162.29999995231628,1,0.5,0,0,14.399999976158142,22.399999976158142,0.5897265336289726,0.7056547798309396,0.11579420681739783,0.24598738275873222,763.8454857617368,6.206978413091941,16.168375672732896,18,0.5064257741667495,0.5530367173772525,18,0.5708441029626032,0.5922167900290429,18,0.01462333382198012,0.018989011615884316
init_layout_dorogovtsev_goltsev_mendes_graph__5___random,3,data/dorogovtsev_goltsev_mendes_graph__5__.json,162.29999995231628,1,0.5,0,0,14.399999976158142,9.600000023841858,0.6194382852919438,0.7119874705466076,0.13023446370904646,0.2645951088808449,786.8633523935042,6.383815414033452,18.175334518972985,18,0.5161535557328499,0.5571472791995551,18,0.5789804483642969,0.5926902102167722,18,0.018227847455423357,0.019851824385513306
init_layout_dorogovtsev_goltsev_mendes_graph__5___random,4,data/dorogovtsev_goltsev_mendes_graph__5__.json,162.29999995231628,1,0.5,0,0,14.399999976158142,11,0.651219512195122,0.7134441352443515,0.14770077238825163,0.28020053261735967,830.8466896470514,6.747398008565163,19.88218778142563,18,0.5277600040131751,0.5628556341554456,18,0.580245347638624,0.5905051939657141,18,0.02209176471635926,0.026754326542545226
init_layout_dorogovtsev_goltsev_mendes_graph__5___random,5,data/dorogovtsev_goltsev_mendes_graph__5__.json,162.29999995231628,1,0.5,0,0,14.399999976158142,11.399999976158142,0.6915742793791575,0.7167542344161262,0.16538857928273742,0.2995518697083742,934.0292928304841,7.593006231522491,28.264442645480525,18,0.5422435003286108,0.5702437203543362,18,0.5788198584868267,0.5923579056619237,18,0.023316948065457754,0.036676673393278625
init_layout_dorogovtsev_goltsev_mendes_graph__5___random,6,data/dorogovtsev_goltsev_mendes_graph__5__.json,162.29999995231628,1,0.5,0,0,14.399999976158142,12.399999976158142,0.7357723577235773,0.7198180692391993,0.1860581044961932,0.32136308241837597,990.6254339206419,8.046389098483974,25.65698670931221,18,0.5598811499510828,0.5809002266954353,18,0.5786449451745028,0.5981755114303673,18,0.030246868382351712,0.047030426628826505
init_layout_dorogovtsev_goltsev_mendes_graph__5___random,7,data/dorogovtsev_goltsev_mendes_graph__5__.json,162.29999995231628,1,0.5,0,0,14.399999976158142,12.799999952316284,0.7804138950480414,0.722072017581876,0.22039787780874154,0.35402350997030285,1034.1051497224157,8.420961280410738,25.754163065249095,18,0.5830467054769828,0.5948297052959333,18,0.5858474424341324,0.6054361383479459,18,0.03795332140080248,0.050913084092156974
init_layout_dorogovtsev_goltsev_mendes_graph__5___random,8,data/dorogovtsev_goltsev_mendes_graph__5__.json,162.29999995231628,1,0.5,0,0,14.399999976158142,13.100000023841858,0.8169253510716925,0.7255000197183632,0.25499881025556026,0.389310636919898,1094.0626678348156,8.936489430953024,27.807169464138095,18,0.6091786950359627,0.6124099818825731,18,0.6003466712085364,0.6095102832327323,18,0.048421224116977454,0.06299246286696283
init_layout_dorogovtsev_goltsev_mendes_graph__5___random,9,data/dorogovtsev_goltsev_mendes_graph__5__.json,162.29999995231628,1,0.5,0,0,14.399999976158142,11.899999976158142,0.8517368810051738,0.7302859151545031,0.2906249462271452,0.4283731014873373,1172.2478157894936,9.535853518283846,29.125157675990827,18,0.637604231522358,0.6319613252123564,18,0.616472007840268,0.621778239058987,18,0.0636474101242628,0.08456278210768758
init_layout_dorogovtsev_goltsev_mendes_graph__5___random,10,data/dorogovtsev_goltsev_mendes_graph__5__.json,162.29999995231628,1,0.5,0,0,14.399999976158142,20.600000023841858,0.8733924611973393,0.7311277015629194,0.337687983731207,0.47267294725164255,1213.1340279567528,9.773217965929055,30.89497827943975,18,0.6696385956657978,0.6563515691147954,18,0.6305577025455237,0.640432815302397,18,0.08020820532838008,0.10656450773322687
