experiment,frame,file,download,jaccard,spanning_tree,ph0d,ph1d,layout_time,quality,fdl_init,frameTime,crossing,crossingAngle,angularResolutionMin,angularResolutionDev,totalEnergy,avgMotion,maxMotion,trustworthy_k_idx,trustworthy_q_local,trustworthy_q_global,continuity_k_idx,continuity_q_local,continuity_q_global,lcmc_k_idx,lcmc_q_local,lcmc_q_global
h1_watts_strogatz_graph__100_5_0_05___16_force,600,data/watts_strogatz_graph__100_5_0_05__.json,364,1.3000001907348633,0.5999999046325684,4.299999952316284,11.900000095367432,0,0.10000014305114746,15,0,0.990357698289269,0.5894647594143769,0.14113523775795667,0.49852507716879046,11.687648962009034,636.9977420004653,1024.0388563127933,18,0.9487285269250935,0.9259747961452928,18,0.9234445476093104,0.911905114899926,18,0.533726905399337,0.4844850220790071
h1_watts_strogatz_graph__100_5_0_05___16_force,674,data/watts_strogatz_graph__100_5_0_05__.json,364,1.3000001907348633,0.5999999046325684,4.299999952316284,11.900000095367432,0,0.10000014305114746,15,2467.5999999046326,0.9917055469155003,0.6121206011095996,0.17502199885400782,0.5199774594013724,26.016671247093964,52.37471567879586,281.26490097233096,18,0.9579546295902225,0.9355374351371386,18,0.9259115881976696,0.9134914751667902,18,0.5671214897235609,0.5126615239397195
h1_watts_strogatz_graph__100_5_0_05___16_force,675,data/watts_strogatz_graph__100_5_0_05__.json,364,1.3000001907348633,0.5999999046325684,4.299999952316284,11.900000095367432,0,0.10000014305114746,15,17.299999952316284,0.9917055469155003,0.6120981712846908,0.1750328272848931,0.5199769502281864,25.310532396533002,0.2519422206855124,0.6282246068592467,18,0.9579663790899271,0.9355744996293551,18,0.9259044649763964,0.9134914751667902,18,0.5678826873938,0.5126615239397195
h1_watts_strogatz_graph__100_5_0_05___16_force,676,data/watts_strogatz_graph__100_5_0_05__.json,364,1.3000001907348633,0.5999999046325684,4.299999952316284,11.900000095367432,0,0.10000014305114746,15,13.599999904632568,0.9917055469155003,0.6120761553576798,0.1750276012934926,0.519970792250954,24.76254884091146,0.24669947552408544,0.616456512748764,18,0.9580169273188286,0.9356041512231282,18,0.9260988820440229,0.9134247590808006,18,0.5678572423111653,0.51212989182914
h1_watts_strogatz_graph__100_5_0_05___16_force,677,data/watts_strogatz_graph__100_5_0_05__.json,364,1.3000001907348633,0.5999999046325684,4.299999952316284,11.900000095367432,0,0.10000014305114746,15,23.699999809265137,0.9917055469155003,0.6120497169958482,0.17500896134350097,0.519960813753551,24.213669777680856,0.24121766792662222,0.6069021509552814,18,0.9580555054508005,0.9356189770200148,18,0.9260678920729947,0.9134247590808006,18,0.5679705099935061,0.51212989182914
h1_watts_strogatz_graph__100_5_0_05___16_force,678,data/watts_strogatz_graph__100_5_0_05__.json,364,1.3000001907348633,0.5999999046325684,4.299999952316284,11.900000095367432,0,0.10000014305114746,15,31.799999952316284,0.9917055469155003,0.6119874695851887,0.17497805816869005,0.519947450931746,23.669775230596905,0.23583280479958205,0.5972553919082004,18,0.9581139285795469,0.9356708673091179,18,0.926043641048103,0.9130615270570793,18,0.5678698561891485,0.5115982597185605
h1_watts_strogatz_graph__100_5_0_05___16_force,679,data/watts_strogatz_graph__100_5_0_05__.json,364,1.3000001907348633,0.5999999046325684,4.299999952316284,11.900000095367432,0,0.10000014305114746,15,28.59999990463257,0.9917055469155003,0.6119625836245624,0.17491032258366057,0.5199257238283472,23.01939313873482,0.22941066311401215,0.589486067622195,18,0.9581425245472398,0.9356856931060045,18,0.9260788976824127,0.9130615270570793,18,0.5680062510014693,0.5115982597185605
h1_watts_strogatz_graph__100_5_0_05___16_force,680,data/watts_strogatz_graph__100_5_0_05__.json,364,1.3000001907348633,0.5999999046325684,4.299999952316284,11.900000095367432,0,0.10000014305114746,15,35.40000009536743,0.9917055469155003,0.611949174792144,0.17482956955418705,0.5199008007575784,22.363472745178445,0.22315955709794083,0.5787798937589809,18,0.95815735637518,0.9356856931060045,18,0.9261999892947399,0.9132690882134914,18,0.5682276002968927,0.5115982597185605
h1_watts_strogatz_graph__100_5_0_05___16_force,681,data/watts_strogatz_graph__100_5_0_05__.json,364,1.3000001907348633,0.5999999046325684,4.299999952316284,11.900000095367432,0,0.10000014305114746,15,29.899999856948853,0.9917055469155003,0.6119266663293896,0.17474472334421842,0.5198749293744871,21.809683724673956,0.2177861798212907,0.5680755609293362,18,0.9581789836169082,0.9357153446997776,18,0.9262434306448165,0.9132690882134914,18,0.5675074356878392,0.5115982597185605
h1_watts_strogatz_graph__100_5_0_05___16_force,682,data/watts_strogatz_graph__100_5_0_05__.json,364,1.3000001907348633,0.5999999046325684,4.299999952316284,11.900000095367432,0,0.10000014305114746,15,26.399999856948853,0.9917055469155003,0.6119029476239284,0.1746508087768096,0.5198416250043008,21.385097408926743,0.2136366744029319,0.5577235616928465,18,0.9581854561785071,0.9357227575982209,18,0.9264230220536739,0.9132690882134915,18,0.5676648742712037,0.5115982597185605
h1_watts_strogatz_graph__100_5_0_05___16_force,683,data/watts_strogatz_graph__100_5_0_05__.json,364,1.3000001907348633,0.5999999046325684,4.299999952316284,11.900000095367432,0,0.10000014305114746,15,27.299999952316284,0.9917055469155003,0.6118690939087958,0.17455475403465792,0.519801083251535,20.98636468566905,0.20965165526105578,0.5496496500242137,18,0.9581943611707251,0.9357524091919941,18,0.9264462285935052,0.9131949592290586,18,0.567576447920151,0.5115982597185605
