experiment,frame,file,download,jaccard,spanning_tree,layout_time,quality,fdl_init,frameTime,totalEnergy,avgMotion,maxMotion,trustworthy_k_idx,trustworthy_q_local,trustworthy_q_global,continuity_k_idx,continuity_q_local,continuity_q_global,lcmc_k_idx,lcmc_q_local,lcmc_q_global
animate_hic_1k_net_6_random,1,large_data/hic_1k_net_6.json,50589.60000002384,22.899999976158142,234,0,0.30000007152557373,12421,0,134702.0250123374,616.6530126550495,1145.058683644725,18,0.5392382190359997,0.5513762506236473,18,0.7953414147816731,0.7840462695035326,18,0.0064000942104897,0.013191463592573272
animate_hic_1k_net_6_random,2,large_data/hic_1k_net_6.json,50589.60000002384,22.899999976158142,234,0,0.30000007152557373,12421,17692.699999928474,123499.88201589277,26.956596942590817,70.13858472364839,18,0.5383908171240597,0.5504577231211498,18,0.7766440155139243,0.7694909066579873,18,0.005919327038974177,0.012318101147158426
animate_hic_1k_net_6_random,3,large_data/hic_1k_net_6.json,50589.60000002384,22.899999976158142,234,0,0.30000007152557373,12421,11154.800000071526,70835.50045354507,15.456699958524286,58.32277566792324,18,0.5383307246142662,0.5502847353985971,18,0.7482442946938159,0.7448151689107072,18,0.005586700671397256,0.011755012202088327
animate_hic_1k_net_6_random,4,large_data/hic_1k_net_6.json,50589.60000002384,22.899999976158142,234,0,0.30000007152557373,12421,11112.100000023842,48074.252454968264,10.472124688819127,54.3461761139364,18,0.5390281497627017,0.5508309750890206,18,0.7173113434784987,0.7171122696932133,18,0.005439921647975327,0.011260872923761506
animate_hic_1k_net_6_random,5,large_data/hic_1k_net_6.json,50589.60000002384,22.899999976158142,234,0,0.30000007152557373,12421,10238.299999952316,58360.943060753285,12.724183477985349,58.437242718100435,18,0.5403076113348847,0.551925276774808,18,0.6897512539834301,0.691334045031746,18,0.005325559476609131,0.010812700089930204
animate_hic_1k_net_6_random,6,large_data/hic_1k_net_6.json,50589.60000002384,22.899999976158142,234,0,0.30000007152557373,12421,9246.899999976158,71641.16630263055,15.63058068873798,65.11208266242542,18,0.542263842061913,0.5536869989052635,18,0.6662299222297978,0.667546887905994,18,0.005293206371325981,0.010812700089930204
animate_hic_1k_net_6_random,7,large_data/hic_1k_net_6.json,50589.60000002384,22.899999976158142,234,0,0.30000007152557373,12421,9074.100000023842,86725.96742932753,18.926749588267413,86.67438535544753,18,0.545506448739524,0.5567051371896792,18,0.6459579958776069,0.6476878226476714,18,0.004880694006457892,0.010755242034310806
animate_hic_1k_net_6_random,8,large_data/hic_1k_net_6.json,50589.60000002384,22.899999976158142,234,0,0.30000007152557373,12421,11331.299999952316,105066.87077674794,22.92979223135711,97.09769124380664,18,0.5509265239930472,0.5618472652634476,18,0.6275677058308231,0.6299814270277138,18,0.004789547701005995,0.010801208478806324
animate_hic_1k_net_6_random,9,large_data/hic_1k_net_6.json,50589.60000002384,22.899999976158142,234,0,0.30000007152557373,12421,10172.199999928474,127560.52891001533,27.84641483247932,117.23571923010655,18,0.5598926387888206,0.5704236834745364,18,0.6150646778118557,0.6168508239574495,18,0.005180032696257024,0.011800978646583846
animate_hic_1k_net_6_random,10,large_data/hic_1k_net_6.json,50589.60000002384,22.899999976158142,234,0,0.30000007152557373,12421,8798.5,154090.2529902576,33.63764381653549,142.9766527629098,18,0.5744336730007737,0.5844587530212664,18,0.5993755401181922,0.6033913705653345,18,0.005846213195497931,0.0130075978145912
animate_hic_1k_net_6_random,11,large_data/hic_1k_net_6.json,50589.60000002384,22.899999976158142,234,0,0.30000007152557373,12421,8630.200000047684,183972.95340836112,40.16636687535109,175.93412293166924,18,0.5970514093416437,0.6063595241863899,18,0.5933380442297473,0.5954001999709573,18,0.007234422171283968,0.015857517373313333
animate_hic_1k_net_6_random,12,large_data/hic_1k_net_6.json,50589.60000002384,22.899999976158142,234,0,0.30000007152557373,12421,9605,216630.4207230021,47.29795619980012,195.98512808862466,18,0.6299361124191944,0.6381620769519125,18,0.5939353807465702,0.5953566009467736,18,0.00893542357792691,0.019213067821486168
animate_hic_1k_net_6_random,13,large_data/hic_1k_net_6.json,50589.60000002384,22.899999976158142,234,0,0.30000007152557373,12421,9241.800000071526,250554.88360931695,54.69968855418313,215.51374540255034,18,0.6731328359075965,0.6799973497325846,18,0.5995279368494791,0.6016230255426946,18,0.01168083338914394,0.024338326382736454
animate_hic_1k_net_6_random,14,large_data/hic_1k_net_6.json,50589.60000002384,22.899999976158142,234,0,0.30000007152557373,12421,8953.299999952316,282626.87732373446,61.702611489785234,227.1280489768793,18,0.7243785309969446,0.7297466177364169,18,0.6135905701691174,0.6144926780797275,18,0.01489874815989928,0.030681695723117977
animate_hic_1k_net_6_random,15,large_data/hic_1k_net_6.json,50589.60000002384,22.899999976158142,234,0,0.30000007152557373,12421,9746.899999976158,308241.7270943358,67.29769222340046,213.52767664692288,18,0.7784677036775316,0.7823084821621382,18,0.6309784869049962,0.6319384336145183,18,0.019858732817096884,0.039610677566372404
