experiment,frame,file,download,jaccard,spanning_tree,layout_time,quality,fdl_init,frameTime,crossing,crossingAngle,angularResolutionMin,angularResolutionDev,totalEnergy,avgMotion,maxMotion,trustworthy_k_idx,trustworthy_q_local,trustworthy_q_global,continuity_k_idx,continuity_q_local,continuity_q_global,lcmc_k_idx,lcmc_q_local,lcmc_q_global
init_layout_connected_caveman_graph__10_20___random,1,data/connected_caveman_graph__10_20__.json,836.1000000238419,8,2.100000023841858,0,0.20000004768371582,85.29999995231628,0,0.5668331600596663,0.7217914208352074,0.1061288135965266,0.48066738992422564,558.6313298754877,512.2430814554776,641.132453086958,18,0.5647314259274024,0.5760680209295177,18,0.7684120517784041,0.7142105263157894,18,0.047200559163560446,0.08124220250641835
init_layout_connected_caveman_graph__10_20___random,2,data/connected_caveman_graph__10_20__.json,836.1000000238419,8,2.100000023841858,0,0.20000004768371582,85.29999995231628,113.79999995231628,0.5559327396826832,0.7216255661144805,0.10568558460743882,0.48107869801866254,567.9350411440575,2.8402418216987515,8.044592014593585,18,0.558473148196643,0.5695952600800241,18,0.7513453099809424,0.6979809172052931,18,0.040070498573183566,0.07039851036148313
init_layout_connected_caveman_graph__10_20___random,3,data/connected_caveman_graph__10_20__.json,836.1000000238419,8,2.100000023841858,0,0.20000004768371582,85.29999995231628,64.40000009536743,0.5504452379876147,0.7214444427725405,0.09435562825988475,0.4815328071955782,428.8142373964434,2.1449881293502715,6.42054500195306,18,0.5548326358149983,0.5657417666974451,18,0.7344669164186682,0.6851877500769461,18,0.036659267830442335,0.0674892271030859
init_layout_connected_caveman_graph__10_20___random,4,data/connected_caveman_graph__10_20__.json,836.1000000238419,8,2.100000023841858,0,0.20000004768371582,85.29999995231628,64.5,0.5512814717714596,0.7214901993282444,0.08671564570446733,0.4820536570758738,409.2663588856586,2.0463262799226727,5.225146315506785,18,0.5544184375867423,0.5647276084949218,18,0.7139282604933043,0.6772499230532469,18,0.033553370970234704,0.0666957862144321
init_layout_connected_caveman_graph__10_20___random,5,data/connected_caveman_graph__10_20__.json,836.1000000238419,8,2.100000023841858,0,0.20000004768371582,85.29999995231628,44.60000002384186,0.5539404691949554,0.7216966035710428,0.08173844108771755,0.4828605905655067,486.47643909339547,2.432353949568049,5.8676535454503895,18,0.5548732642422309,0.5651277316097261,18,0.6910490910981308,0.6669252077562322,18,0.032615763637908676,0.06907610888039349
init_layout_connected_caveman_graph__10_20___random,6,data/connected_caveman_graph__10_20__.json,836.1000000238419,8,2.100000023841858,0,0.20000004768371582,85.29999995231628,31.200000047683716,0.5586855308954481,0.7219301322426933,0.08020554112943246,0.4829007016410697,594.9289203107127,2.974533534362729,7.600172409092182,18,0.5561223428220299,0.5665235457063711,18,0.6651768875184243,0.6544936903662657,18,0.03316910782239879,0.06881162858417554
init_layout_connected_caveman_graph__10_20___random,7,data/connected_caveman_graph__10_20__.json,836.1000000238419,8,2.100000023841858,0,0.20000004768371582,85.29999995231628,28.5,0.5648521900284771,0.7223089283144648,0.07113407223758794,0.4827206538777985,735.2254034834663,3.6761760701117328,12.663524089148304,18,0.5587028408804791,0.5688319482917819,18,0.6404358137609333,0.6390689442905506,18,0.03432963778010088,0.07066299065770108
init_layout_connected_caveman_graph__10_20___random,8,data/connected_caveman_graph__10_20__.json,836.1000000238419,8,2.100000023841858,0,0.20000004768371582,85.29999995231628,30.399999976158142,0.5721488948153506,0.7228345399897503,0.07077651827256748,0.4820764569238475,869.4275149610053,4.347573406773627,10.696988478974532,18,0.5617406961363279,0.5717682363804246,18,0.6114842031511917,0.6171637426900578,18,0.035298435935814006,0.06907610888039349
init_layout_connected_caveman_graph__10_20___random,9,data/connected_caveman_graph__10_20__.json,836.1000000238419,8,2.100000023841858,0,0.20000004768371582,85.29999995231628,28,0.5814288297247209,0.7233567963048494,0.07245202570978648,0.48211816848674716,1066.8988766296725,5.334663391525738,16.74192514264078,18,0.5650922802689733,0.5757109879963063,18,0.5844550111485669,0.5975961834410584,18,0.034786087456917095,0.07039851036148313
init_layout_connected_caveman_graph__10_20___random,10,data/connected_caveman_graph__10_20__.json,836.1000000238419,8,2.100000023841858,0,0.20000004768371582,85.29999995231628,29.600000023841858,0.5970539709804277,0.7238525354634828,0.06971202669474241,0.4815666318007191,1318.765556564022,6.593445898271266,13.910481639691481,18,0.5697892951306689,0.5813019390581715,18,0.5627784608473932,0.5803662665435513,18,0.03319705722343914,0.07436571480475211
