experiment,frame,file,download,jaccard,spanning_tree,layout_time,quality,fdl_init,frameTime,totalEnergy,avgMotion,maxMotion,trustworthy_k_idx,trustworthy_q_local,trustworthy_q_global,continuity_k_idx,continuity_q_local,continuity_q_global,lcmc_k_idx,lcmc_q_local,lcmc_q_global
animate_hic_1k_net_6_radial_layout,1,large_data/hic_1k_net_6.json,36056.800000071526,282,310.6999999284744,29.5,1.6999999284744263,15639.200000047684,0,1722065.8721893076,637.6120793680138,1510.5259108474945,18,0.9089497286590312,0.8994531464805453,18,0.8052824656950555,0.801053642074798,18,0.10784574667434257,0.1565952788074664
animate_hic_1k_net_6_radial_layout,2,large_data/hic_1k_net_6.json,36056.800000071526,282,310.6999999284744,29.5,1.6999999284744263,15639.200000047684,15785.200000047684,1175987.457281301,256.717141087308,484.8326335984546,18,0.9284595526549844,0.9212461265419452,18,0.8237843771657498,0.8205571483813149,18,0.10823432206026896,0.16434062470496122
animate_hic_1k_net_6_radial_layout,3,large_data/hic_1k_net_6.json,36056.800000071526,282,310.6999999284744,29.5,1.6999999284744263,15639.200000047684,10396.600000023842,838267.8310186081,182.90813318176347,365.55981956780386,18,0.9508509191004219,0.9462048768272293,18,0.8639210662453382,0.8590331458792357,18,0.12944317969880273,0.19788463757556568
animate_hic_1k_net_6_radial_layout,4,large_data/hic_1k_net_6.json,36056.800000071526,282,310.6999999284744,29.5,1.6999999284744263,15639.200000047684,9915.799999952316,653759.5973219031,142.61636117036122,333.11149343571395,18,0.9686500841368645,0.9658721810886101,18,0.8930290135269878,0.8899425117815298,18,0.15241448619446385,0.23694462378563233
animate_hic_1k_net_6_radial_layout,5,large_data/hic_1k_net_6.json,36056.800000071526,282,310.6999999284744,29.5,1.6999999284744263,15639.200000047684,10292.899999976158,526698.2237862383,114.901554940113,287.63785341825826,18,0.9798339181807196,0.9782099830770971,18,0.9240811746356082,0.9196597646640075,18,0.1729173642551647,0.26816733120921316
animate_hic_1k_net_6_radial_layout,6,large_data/hic_1k_net_6.json,36056.800000071526,282,310.6999999284744,29.5,1.6999999284744263,15639.200000047684,10263.800000071526,426837.5848624224,93.14136791595601,235.05941478256173,18,0.9855216864703893,0.9845150041925128,18,0.9415467366697051,0.9386549059447342,18,0.18984872088199506,0.29169065917979464
animate_hic_1k_net_6_radial_layout,7,large_data/hic_1k_net_6.json,36056.800000071526,282,310.6999999284744,29.5,1.6999999284744263,15639.200000047684,11062.200000047684,350181.06571735756,76.4347638083546,182.20214593719064,18,0.9881209517966,0.9873961440148711,18,0.9485360883747073,0.9467906039978725,18,0.20163902915482537,0.30905448358797666
animate_hic_1k_net_6_radial_layout,8,large_data/hic_1k_net_6.json,36056.800000071526,282,310.6999999284744,29.5,1.6999999284744263,15639.200000047684,10274.600000023842,294542.71283629123,64.29828857084831,147.05736183923287,18,0.9893157227076574,0.9887107376324908,18,0.9521884315852119,0.9505236309941739,18,0.21239787339684454,0.32217790349144715
animate_hic_1k_net_6_radial_layout,9,large_data/hic_1k_net_6.json,36056.800000071526,282,310.6999999284744,29.5,1.6999999284744263,15639.200000047684,9972.399999976158,255954.91702925856,55.868857283070334,112.38381217762348,18,0.9900660431493065,0.9895220772596314,18,0.9563549950677724,0.9549566981982966,18,0.2207746256976004,0.3338878552266804
animate_hic_1k_net_6_radial_layout,10,large_data/hic_1k_net_6.json,36056.800000071526,282,310.6999999284744,29.5,1.6999999284744263,15639.200000047684,10054.5,229297.67332394616,50.0404458269855,94.72726981765432,18,0.9906658522420322,0.9901825946516793,18,0.9634024005185053,0.9630543575288785,18,0.2278420678631353,0.34393152334895116
