experiment,frame,file,download,jaccard,spanning_tree,layout_time,quality,fdl_init,frameTime,totalEnergy,avgMotion,maxMotion,trustworthy_k_idx,trustworthy_q_local,trustworthy_q_global,continuity_k_idx,continuity_q_local,continuity_q_global,lcmc_k_idx,lcmc_q_local,lcmc_q_global
animate_airport_random,1,large_data/airport.json,41,8,11,0,0.19999992847442627,908.6000000238419,0,272120.44020489766,562.219788374293,1057.6578516968173,18,0.5477256538850601,0.5409719681695447,18,0.5175947149612155,0.5180697951836453,18,0.004300223608405926,0.006760753734330993
animate_airport_random,2,large_data/airport.json,41,8,11,0,0.19999992847442627,908.6000000238419,1213.3000000715256,188526.07712637566,65.18855640466997,244.73507788580181,18,0.5771080968884336,0.5587223542648191,18,0.5222514212336338,0.5215317147843437,18,0.005051005712053009,0.007142537208560607
animate_airport_random,3,large_data/airport.json,41,8,11,0,0.19999992847442627,908.6000000238419,899.7999999523163,174595.17363746976,60.323439935309814,216.85279754252505,18,0.6166923459300512,0.5870977834018414,18,0.5323958890707965,0.5335207122226837,18,0.00943696767861371,0.011578497575799948
animate_airport_random,4,large_data/airport.json,41,8,11,0,0.19999992847442627,908.6000000238419,699.6999999284744,175460.0142244902,60.57416074596362,233.84247564004033,18,0.6594132604589182,0.6211150985337885,18,0.5531269072727978,0.5526964458442718,18,0.01825157237108423,0.02119580509329836
animate_airport_random,5,large_data/airport.json,41,8,11,0,0.19999992847442627,908.6000000238419,787.8999999761581,169426.92162355673,58.48728043125537,228.73750398893387,18,0.6993252449137691,0.6552221357471141,18,0.5750335178229912,0.5738461413242079,18,0.03156509630950234,0.035776297775781764
animate_airport_random,6,large_data/airport.json,41,8,11,0,0.19999992847442627,908.6000000238419,604.5,158652.98950466412,54.77960425477987,237.62683040704727,18,0.7340166592594507,0.6864234174302792,18,0.597660388413489,0.5958667634824999,18,0.04816682112306975,0.05326561692858606
animate_airport_random,7,large_data/airport.json,41,8,11,0,0.19999992847442627,908.6000000238419,647.2000000476837,147739.3982949561,51.05018178359957,241.7275594370278,18,0.7633148245646248,0.7139173527906225,18,0.6236446689609384,0.6200829332753738,18,0.06819812019539628,0.07408190635681985
animate_airport_random,8,large_data/airport.json,41,8,11,0,0.19999992847442627,908.6000000238419,765.7999999523163,138963.4781300852,48.127455783554566,269.003708810258,18,0.7882511999859583,0.7380207772860865,18,0.6467481113379772,0.6420791313005901,18,0.08588913274387945,0.09188028832209573
animate_airport_random,9,large_data/airport.json,41,8,11,0,0.19999992847442627,908.6000000238419,623.0999999046326,131943.75784365443,45.7561918749304,279.9531098342754,18,0.8097080100149409,0.7594885316492643,18,0.6706333850038142,0.6611335493086807,18,0.10328612477838885,0.10902418433154942
animate_airport_random,10,large_data/airport.json,41,8,11,0,0.19999992847442627,908.6000000238419,654,126463.30842021653,43.94789683262895,253.23784033655824,18,0.8280030032997711,0.7784402516609934,18,0.6860780123395827,0.6750437681986096,18,0.11523665197710427,0.12045950839299836
animate_airport_random,11,large_data/airport.json,41,8,11,0,0.19999992847442627,908.6000000238419,841.1999999284744,120865.19958288255,42.04487748825376,197.41031736446266,18,0.8429071432263574,0.7944711293435145,18,0.6974516555403584,0.6887938007810231,18,0.12463536106662577,0.13380374982559542
animate_airport_random,12,large_data/airport.json,41,8,11,0,0.19999992847442627,908.6000000238419,708.2000000476837,115352.37881184778,40.08265695038616,149.38693039039583,18,0.8547495462960919,0.807622380817584,18,0.711180330519933,0.7005746574434499,18,0.13405451626488796,0.14382102098276295
animate_airport_random,13,large_data/airport.json,41,8,11,0,0.19999992847442627,908.6000000238419,738.1999999284744,109585.27641385465,38.03086547499817,128.9056920605521,18,0.8641314863647873,0.8183615257008554,18,0.7274123737107634,0.7141902843955441,18,0.14180950347210855,0.1519475549342219
animate_airport_random,14,large_data/airport.json,41,8,11,0,0.19999992847442627,908.6000000238419,914,104026.19671166062,36.082011188049876,145.6301483975732,18,0.8719618570696988,0.8275986022473701,18,0.7381485439452455,0.7256420650080284,18,0.14956783280706595,0.16140124096276476
animate_airport_random,15,large_data/airport.json,41,8,11,0,0.19999992847442627,908.6000000238419,801.3999999761581,98887.2438776715,34.273126765284694,150.68470193846312,18,0.8788768797215167,0.8360483443924225,18,0.7447633451507741,0.7334693245566526,18,0.15491442721259396,0.16900055011647808
animate_airport_random,16,large_data/airport.json,41,8,11,0,0.19999992847442627,908.6000000238419,823,93711.8327583759,32.46269624425317,147.8545497329893,18,0.8849856720310685,0.8437015922937334,18,0.7503615366515864,0.7390609043174392,18,0.1575931263852059,0.17394555511602355
animate_airport_random,17,large_data/airport.json,41,8,11,0,0.19999992847442627,908.6000000238419,1041.3999999761581,88346.79719959543,30.591127569765185,134.82139610309244,18,0.8903015588737774,0.850345951712303,18,0.7567492707808011,0.7444642097007241,18,0.16309911780593367,0.17878147912293202
animate_airport_random,18,large_data/airport.json,41,8,11,0,0.19999992847442627,908.6000000238419,857.1000000238419,83020.22958478138,28.74266438717744,122.35524937124184,18,0.8948500567569585,0.8560107658383745,18,0.7655205808993527,0.7494040270647544,18,0.1701142791975978,0.18556268083186758
animate_airport_random,19,large_data/airport.json,41,8,11,0,0.19999992847442627,908.6000000238419,848.1000000238419,77754.7958626343,26.91193337265911,108.69243559133022,18,0.8987789749038462,0.8607889325879221,18,0.7702417286991717,0.7544743832744749,18,0.1723426407489131,0.1889441916036156
