experiment,frame,file,download,jaccard,spanning_tree,layout_time,quality,fdl_init,frameTime,crossing,crossingAngle,angularResolutionMin,angularResolutionDev,totalEnergy,avgMotion,maxMotion,trustworthy_k_idx,trustworthy_q_local,trustworthy_q_global,continuity_k_idx,continuity_q_local,continuity_q_global,lcmc_k_idx,lcmc_q_local,lcmc_q_global
init_layout_duplication_divergence_graph__50_0_5___random,1,data/duplication_divergence_graph__50_0_5__.json,88.39999997615814,0.5,0.5,0,0.09999990463256836,7.700000047683716,0,0.6190935390549662,0.7387749277134517,0.4661608576419036,0.6226405227400782,293.6874122943245,508.40835944131095,572.7836856443937,18,0.5532587125433378,0.577944862155388,18,0.5322028778795063,0.5442105263157897,18,0.016914458923762647,0.02521929824561403
init_layout_duplication_divergence_graph__50_0_5___random,2,data/duplication_divergence_graph__50_0_5__.json,88.39999997615814,0.5,0.5,0,0.09999990463256836,7.700000047683716,14.200000047683716,0.639344262295082,0.7330587848927089,0.48766322600367207,0.6461847548228672,251.34538806159148,4.996472552754381,18.823539988875094,18,0.56005477511645,0.5883208020050119,18,0.5239461533682735,0.543057644110276,18,0.01235314157483025,0.018774615109201587
init_layout_duplication_divergence_graph__50_0_5___random,3,data/duplication_divergence_graph__50_0_5__.json,88.39999997615814,0.5,0.5,0,0.09999990463256836,7.700000047683716,11.300000071525574,0.6783992285438766,0.7292126646043277,0.4983070165369593,0.6581126993116343,239.73726485685145,4.7226388660762835,15.193439745794128,18,0.5689804045360132,0.5970426065162904,18,0.5291610432882616,0.5528320802005016,18,0.018591001539180807,0.03166398138202653
init_layout_duplication_divergence_graph__50_0_5___random,4,data/duplication_divergence_graph__50_0_5__.json,88.39999997615814,0.5,0.5,0,0.09999990463256836,7.700000047683716,6.199999928474426,0.7097396335583414,0.7331883103660602,0.5119981615103798,0.6658128987586382,224.54443715381913,4.364972449731664,10.847975174443658,18,0.5797611452320115,0.6071679197994984,18,0.5383661618350969,0.5503258145363411,18,0.026483454409624876,0.02736752595775155
init_layout_duplication_divergence_graph__50_0_5___random,5,data/duplication_divergence_graph__50_0_5__.json,88.39999997615814,0.5,0.5,0,0.09999990463256836,7.700000047683716,8.699999928474426,0.7299903567984571,0.7305461759343979,0.5133191971012878,0.6723412010150163,207.14243667404367,4.026594507308063,9.697491445949796,18,0.5896226349812109,0.6176942355889721,18,0.548627105046143,0.5513283208020052,18,0.03265999308666375,0.03273809523809523
init_layout_duplication_divergence_graph__50_0_5___random,6,data/duplication_divergence_graph__50_0_5__.json,88.39999997615814,0.5,0.5,0,0.09999990463256836,7.700000047683716,5.899999976158142,0.7487945998071359,0.7380610056982135,0.5147124339884664,0.6814089727963687,185.99472812852486,3.6468605776721335,11.29264861674392,18,0.6017424058259266,0.6292731829573928,18,0.5594758498698247,0.5516791979949879,18,0.04281506345832076,0.041331006086645194
init_layout_duplication_divergence_graph__50_0_5___random,7,data/duplication_divergence_graph__50_0_5__.json,88.39999997615814,0.5,0.5,0,0.09999990463256836,7.700000047683716,11.399999976158142,0.7627772420443587,0.749988861788332,0.5311293370083128,0.6898950591406874,186.31208572485144,3.688385566729754,12.934890158116605,18,0.6184694234464487,0.6418546365914781,18,0.568506650888678,0.5554887218045115,18,0.04966712523985433,0.04777568922305764
init_layout_duplication_divergence_graph__50_0_5___random,8,data/duplication_divergence_graph__50_0_5__.json,88.39999997615814,0.5,0.5,0,0.09999990463256836,7.700000047683716,15.799999952316284,0.7714561234329798,0.7449424667170798,0.529393448448156,0.6934315289535393,186.8136019963062,3.569420903564439,13.530110501966274,18,0.6356282040189287,0.6515789473684207,18,0.5776063928715469,0.569724310776943,18,0.06481025458616495,0.06281328320802004
init_layout_duplication_divergence_graph__50_0_5___random,9,data/duplication_divergence_graph__50_0_5__.json,88.39999997615814,0.5,0.5,0,0.09999990463256836,7.700000047683716,12.100000023841858,0.7883317261330762,0.744422897840936,0.5350337299691716,0.6948808712519059,173.83394176137512,3.1055578290842822,12.12984643237893,18,0.6472168934432108,0.6563408521303251,18,0.5824156312921428,0.5747869674185466,18,0.07466502103857046,0.06925796634443254
init_layout_duplication_divergence_graph__50_0_5___random,10,data/duplication_divergence_graph__50_0_5__.json,88.39999997615814,0.5,0.5,0,0.09999990463256836,7.700000047683716,14.400000095367432,0.7970106075216972,0.7455585920300123,0.5274606440748244,0.6950726366798248,158.0399054033286,2.6981336547593626,9.365257019738674,18,0.653741835874725,0.6564411027568917,18,0.5846754920085784,0.5750375939849628,18,0.08145383898185017,0.06925796634443254
init_layout_duplication_divergence_graph__50_0_5___random,11,data/duplication_divergence_graph__50_0_5__.json,88.39999997615814,0.5,0.5,0,0.09999990463256836,7.700000047683716,14.399999976158142,0.8047251687560271,0.7461085516857675,0.5411894314467729,0.6947727915784896,147.8337568023313,2.4725003623328066,7.40603611866952,18,0.6561164581315888,0.6550375939849618,18,0.5911143720269282,0.5823057644110277,18,0.08780136411689032,0.07892499104905121
init_layout_duplication_divergence_graph__50_0_5___random,12,data/duplication_divergence_graph__50_0_5__.json,88.39999997615814,0.5,0.5,0,0.09999990463256836,7.700000047683716,14.700000047683716,0.8027965284474445,0.7488324216625784,0.5400216108199611,0.6946627977892195,138.18349767336397,2.2613420127357564,6.485513757975724,18,0.6599488350929846,0.6566416040100247,18,0.5964633824644506,0.5804010025062658,18,0.09279693960316208,0.07570264948084499
init_layout_duplication_divergence_graph__50_0_5___random,13,data/duplication_divergence_graph__50_0_5__.json,88.39999997615814,0.5,0.5,0,0.09999990463256836,7.700000047683716,13.700000047683716,0.8143683702989393,0.752240490852208,0.537189070976652,0.6939728626921672,133.4828966858096,2.2522608406551528,5.919739295942286,18,0.6639468216350316,0.6584461152882202,18,0.5985903321189994,0.5840100250626571,18,0.10003948410310955,0.07462853562477623
init_layout_duplication_divergence_graph__50_0_5___random,14,data/duplication_divergence_graph__50_0_5__.json,88.39999997615814,0.5,0.5,0,0.09999990463256836,7.700000047683716,14.899999976158142,0.8153326904532305,0.7558648501027823,0.5376429163834813,0.6930137853473584,124.02309666401845,2.220097380313133,5.417887178606249,18,0.6665675235602229,0.659147869674185,18,0.6118968190966599,0.5959899749373438,18,0.10722506257470243,0.08214733261725743
init_layout_duplication_divergence_graph__50_0_5___random,15,data/duplication_divergence_graph__50_0_5__.json,88.39999997615814,0.5,0.5,0,0.09999990463256836,7.700000047683716,14.5,0.8153326904532305,0.7504780820333772,0.533869787276887,0.6911545199301571,116.47154255315365,2.2167593964809775,5.321299362058982,18,0.671392475589648,0.662756892230576,18,0.6177805892305245,0.6012030075187973,18,0.11207249198195576,0.08859201575366987
init_layout_duplication_divergence_graph__50_0_5___random,16,data/duplication_divergence_graph__50_0_5__.json,88.39999997615814,0.5,0.5,0,0.09999990463256836,7.700000047683716,13.900000095367432,0.8206364513018323,0.7444254302175726,0.5250054398316669,0.6891220957102409,110.02249055187607,2.1960424533913963,6.249149208596775,18,0.675556889280651,0.6663659147869669,18,0.62410577671374,0.6054636591478701,18,0.11555780857501545,0.09288847117794485
